"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-302c-5p",1.04067047036304,2.33784194882689,4.55003873034496,0.00168925943099111,0.860689018867694,-0.837195920720532
"hsa-miR-135b-3p",-1.18885899117091,1.70053918908747,-4.52062623225007,0.00175799245639368,0.860689018867694,-0.871820095363255
"hsa-miR-491-5p",-0.631186845367348,0.793023560975038,-4.51460040748058,0.00177244331771378,0.860689018867694,-0.878933118320539
"hsa-miR-504-3p",-0.759879463643361,1.52919623998413,-4.31327710777512,0.00233716443676177,0.860689018867694,-1.12037077623887
"hsa-miR-1237-5p",0.714040324666798,1.16758526183062,4.15416097897379,0.00292045348843515,0.860689018867694,-1.31635186127223
"hsa-miR-1914-3p",-0.717689179245149,4.27078587266827,-4.01881669648516,0.00354008972359475,0.860689018867694,-1.48657153537994
"hsa-miR-3176",-1.39800334530351,3.83451460615653,-3.80225980576913,0.00484269040284158,0.860689018867694,-1.76544857245264
"hsa-miR-3613-3p",-0.816878839168931,2.00005786478207,-3.1515527494444,0.0128887497220364,0.860689018867694,-2.64627853589826
"hsa-miR-3620-5p",0.91873805132583,4.51502707336584,3.13371496584542,0.0132486164697634,0.860689018867694,-2.67118097066543
"hsa-miR-4492",0.726910229647825,1.90683610897129,2.93184639619801,0.0181321251726366,0.860689018867694,-2.95502913047356
"hsa-miR-4497",-1.28133062937871,2.44998371244494,-2.90310703349037,0.0189660783978536,0.860689018867694,-2.99569949211917
"hsa-miR-4532",0.789073054627883,0.916456046231423,2.75229041380277,0.0240379116501848,0.860689018867694,-3.20988318876981
"hsa-miR-1343-3p",-0.942551348444815,2.48601034590317,-2.69553171633462,0.0262902189421288,0.860689018867694,-3.29072600002461
"hsa-miR-4688",-0.684400111484523,1.48342325061367,-2.68922191578172,0.0265535820579201,0.860689018867694,-3.29971817013667
"hsa-miR-4728-5p",-1.38728977119579,1.65753423378015,-2.61981889379436,0.0296341777720887,0.860689018867694,-3.39866425647938
"hsa-miR-6088",-0.80743003140094,2.65045171986427,-2.60237606049219,0.0304640662034686,0.860689018867694,-3.42353771854795
"hsa-miR-6126",0.585830146258539,4.74676492775979,2.59499844566217,0.0308221408333608,0.860689018867694,-3.43405817468893
"hsa-miR-6802-5p",0.707063429782761,1.50495030282516,2.47308927832993,0.0373960979895515,0.860689018867694,-3.60780010632782
"hsa-miR-6869-5p",-1.91326611788522,4.76577007778539,-2.46594827594724,0.0378224020716329,0.860689018867694,-3.61796585359647
"hsa-miR-6873-5p",0.765330534071447,3.37398425549535,2.43908594221861,0.0394702560239726,0.860689018867694,-3.65618848779421
"hsa-miR-6880-5p",0.8437702441206,1.99840974009538,2.42389918521929,0.0404335827374975,0.860689018867694,-3.67778383421308
"hsa-miR-7111-5p",-1.55456842373289,1.86867059088683,-2.41407005554717,0.041069597109446,0.860689018867694,-3.69175469757842
"hsa-miR-8052",-0.958989149302719,0.760037692810052,-2.39477799072261,0.0423472159639038,0.860689018867694,-3.71916095328542
